rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   2.4486E-07  1.5545E-06   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   4.6800E-08  2.9739E-07   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   3.3390E-08  2.1244E-07   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   2.5509E-08  1.6274E-07   1.0474E-01  4.2465E-01   8.3177E-234 8.6486E-235  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   9.2809E-08  5.9498E-07   1.0474E-01  4.2465E-01   3.6352E-134 6.6415E-135  0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   1.7587E-06  1.1338E-05   1.0474E-01  4.2469E-01   4.3503E-95  1.1400E-95   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   2.4366E-05  1.5879E-04   1.0483E-01  4.2533E-01   1.4576E-64  5.7668E-65   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   1.0927E-04  7.2122E-04   1.0509E-01  4.2736E-01   3.4559E-49  1.8349E-49   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   6.5625E-04  4.4624E-03   1.0606E-01  4.3498E-01   1.1740E-33  9.4672E-34   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   4.7373E-03  3.4564E-02   1.0785E-01  4.5154E-01   5.5015E-21  7.5670E-21   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   6.0307E-02  5.4108E-01   1.2108E-01  5.6485E-01   4.7542E-11  1.3710E-10   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   2.5236E+00  4.7706E+01   4.0026E-01  2.8319E+00   1.6650E-03  1.5921E-02   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   2.4486E-07  1.5545E-06   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   4.6800E-08  2.9739E-07   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   3.3390E-08  2.1244E-07   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   2.5509E-08  1.6274E-07   1.0474E-01  4.2465E-01   8.3177E-234 8.6486E-235  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   9.2809E-08  5.9498E-07   1.0474E-01  4.2465E-01   3.6352E-134 6.6415E-135  0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   1.7587E-06  1.1338E-05   1.0474E-01  4.2469E-01   4.3503E-95  1.1400E-95   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   2.4366E-05  1.5879E-04   1.0483E-01  4.2533E-01   1.4576E-64  5.7668E-65   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   1.0927E-04  7.2122E-04   1.0509E-01  4.2736E-01   3.4559E-49  1.8349E-49   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   6.5625E-04  4.4624E-03   1.0606E-01  4.3498E-01   1.1740E-33  9.4672E-34   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   4.7373E-03  3.4564E-02   1.0785E-01  4.5154E-01   5.5015E-21  7.5670E-21   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   6.0307E-02  5.4108E-01   1.2108E-01  5.6485E-01   4.7542E-11  1.3710E-10   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   2.5236E+00  4.7706E+01   4.0026E-01  2.8319E+00   1.6650E-03  1.5921E-02   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   2.4946E-06  1.5837E-05   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   4.6752E-07  2.9709E-06   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   3.3374E-07  2.1233E-06   1.0474E-01  4.2465E-01   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   2.5505E-07  1.6272E-06   1.0474E-01  4.2465E-01   8.3143E-235 8.6451E-236  0.0000E+00  0.0000E+00   
1.00E+02  0.060  0.065   2.4026E-07  1.5403E-06   1.0474E-01  4.2465E-01   1.4040E-134 2.5651E-135  0.0000E+00  0.0000E+00   
1.00E+02  0.086  0.005   1.8486E-06  1.1918E-05   1.0474E-01  4.2469E-01   4.1384E-95  1.0845E-95   0.0000E+00  0.0000E+00   
1.00E+02  0.129  0.000   2.4447E-05  1.5932E-04   1.0483E-01  4.2533E-01   1.4527E-64  5.7476E-65   0.0000E+00  0.0000E+00   
1.00E+02  0.172  0.000   1.0935E-04  7.2174E-04   1.0509E-01  4.2736E-01   3.4534E-49  1.8335E-49   0.0000E+00  0.0000E+00   
