rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   5.1333E-08  2.7043E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   9.8569E-09  5.2003E-08   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.0691E-09  3.7363E-08   8.5553E-03  2.0240E-02   5.7755E-306 3.0062E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.4421E-09  2.8884E-08   8.5553E-03  2.0240E-02   1.3576E-153 1.4225E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.9960E-08  1.0671E-07   8.5553E-03  2.0240E-02   2.2113E-88  4.0938E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8051E-07  2.0511E-06   8.5552E-03  2.0240E-02   4.5255E-63  1.2081E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.3144E-06  2.9098E-05   8.5544E-03  2.0236E-02   3.0257E-43  1.2300E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4000E-05  1.3373E-04   8.5509E-03  2.0224E-02   3.2705E-33  1.7985E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4602E-04  8.4615E-04   8.5280E-03  2.0149E-02   5.2778E-23  4.4722E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0843E-03  6.8467E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1549E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2570E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   5.1333E-08  2.7043E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   9.8569E-09  5.2003E-08   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.0691E-09  3.7363E-08   8.5553E-03  2.0240E-02   5.7755E-306 3.0062E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.4421E-09  2.8884E-08   8.5553E-03  2.0240E-02   1.3576E-153 1.4225E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.9960E-08  1.0671E-07   8.5553E-03  2.0240E-02   2.2113E-88  4.0938E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8051E-07  2.0511E-06   8.5552E-03  2.0240E-02   4.5255E-63  1.2081E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.3144E-06  2.9098E-05   8.5544E-03  2.0236E-02   3.0257E-43  1.2300E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4000E-05  1.3373E-04   8.5509E-03  2.0224E-02   3.2705E-33  1.7985E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4602E-04  8.4615E-04   8.5280E-03  2.0149E-02   5.2778E-23  4.4722E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0843E-03  6.8467E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1549E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2570E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   5.2298E-07  2.7552E-06   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   9.8469E-08  5.1950E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   7.0656E-08  3.7345E-07   8.5553E-03  2.0240E-02   5.7684E-307 3.0025E-308  0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   5.4414E-08  2.8880E-07   8.5553E-03  2.0240E-02   1.3570E-154 1.4219E-155  0.0000E+00  0.0000E+00   
1.00E+02  0.060  0.065   5.1671E-08  2.7624E-07   8.5553E-03  2.0240E-02   8.5405E-89  1.5811E-89   0.0000E+00  0.0000E+00   
1.00E+02  0.086  0.005   3.9997E-07  2.1560E-06   8.5552E-03  2.0240E-02   4.3051E-63  1.1493E-63   0.0000E+00  0.0000E+00   
1.00E+02  0.129  0.000   5.3321E-06  2.9195E-05   8.5544E-03  2.0236E-02   3.0156E-43  1.2259E-43   0.0000E+00  0.0000E+00   
1.00E+02  0.172  0.000   2.4017E-05  1.3383E-04   8.5509E-03  2.0224E-02   3.2681E-33  1.7972E-33   0.0000E+00  0.0000E+00   
1.00E+02  0.259  0.000   1.4604E-04  8.4625E-04   8.5280E-03  2.0149E-02   5.2772E-23  4.4716E-23   0.0000E+00  0.0000E+00   
1.00E+02  0.431  0.000   1.0843E-03  6.8469E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1548E-14   0.0000E+00  0.0000E+00   
1.00E+02  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2569E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+02  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   5.1333E-08  2.7043E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   9.8569E-09  5.2003E-08   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.0691E-09  3.7363E-08   8.5553E-03  2.0240E-02   5.7755E-306 3.0062E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.4421E-09  2.8884E-08   8.5553E-03  2.0240E-02   1.3576E-153 1.4225E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.9960E-08  1.0671E-07   8.5553E-03  2.0240E-02   2.2113E-88  4.0938E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8051E-07  2.0511E-06   8.5552E-03  2.0240E-02   4.5255E-63  1.2081E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.3144E-06  2.9098E-05   8.5544E-03  2.0236E-02   3.0257E-43  1.2300E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4000E-05  1.3373E-04   8.5509E-03  2.0224E-02   3.2705E-33  1.7985E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4602E-04  8.4615E-04   8.5280E-03  2.0149E-02   5.2778E-23  4.4722E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0843E-03  6.8467E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1549E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2570E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   5.2298E-07  2.7552E-06   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   9.8469E-08  5.1950E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   7.0656E-08  3.7345E-07   8.5553E-03  2.0240E-02   5.7684E-307 3.0025E-308  0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   5.4414E-08  2.8880E-07   8.5553E-03  2.0240E-02   1.3570E-154 1.4219E-155  0.0000E+00  0.0000E+00   
1.00E+02  0.060  0.065   5.1671E-08  2.7624E-07   8.5553E-03  2.0240E-02   8.5405E-89  1.5811E-89   0.0000E+00  0.0000E+00   
1.00E+02  0.086  0.005   3.9997E-07  2.1560E-06   8.5552E-03  2.0240E-02   4.3051E-63  1.1493E-63   0.0000E+00  0.0000E+00   
1.00E+02  0.129  0.000   5.3321E-06  2.9195E-05   8.5544E-03  2.0236E-02   3.0156E-43  1.2259E-43   0.0000E+00  0.0000E+00   
1.00E+02  0.172  0.000   2.4017E-05  1.3383E-04   8.5509E-03  2.0224E-02   3.2681E-33  1.7972E-33   0.0000E+00  0.0000E+00   
1.00E+02  0.259  0.000   1.4604E-04  8.4625E-04   8.5280E-03  2.0149E-02   5.2772E-23  4.4716E-23   0.0000E+00  0.0000E+00   
1.00E+02  0.431  0.000   1.0843E-03  6.8469E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1548E-14   0.0000E+00  0.0000E+00   
1.00E+02  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2569E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+02  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+03  0.001  0.513   1.9725E-06  1.0393E-05   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+03  0.009  0.493   9.7516E-07  5.1450E-06 1.00E+01  0.001  0.509   5.1333E-08  2.7043E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   9.8569E-09  5.2003E-08   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.0691E-09  3.7363E-08   8.5553E-03  2.0240E-02   5.7755E-306 3.0062E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.4421E-09  2.8884E-08   8.5553E-03  2.0240E-02   1.3576E-153 1.4225E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.9960E-08  1.0671E-07   8.5553E-03  2.0240E-02   2.2113E-88  4.0938E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8051E-07  2.0511E-06   8.5552E-03  2.0240E-02   4.5255E-63  1.2081E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.3144E-06  2.9098E-05   8.5544E-03  2.0236E-02   3.0257E-43  1.2300E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4000E-05  1.3373E-04   8.5509E-03  2.0224E-02   3.2705E-33  1.7985E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4602E-04  8.4615E-04   8.5280E-03  2.0149E-02   5.2778E-23  4.4722E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0843E-03  6.8467E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1549E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2570E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   5.2298E-07  2.7552E-06   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   9.8469E-08  5.1950E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   7.0656E-08  3.7345E-07   8.5553E-03  2.0240E-02   5.7684E-307 3.0025E-308  0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   5.4414E-08  2.8880E-07   8.5553E-03  2.0240E-02   1.3570E-154 1.4219E-155  0.0000E+00  0.0000E+00   
1.00E+02  0.060  0.065   5.1671E-08  2.7624E-07   8.5553E-03  2.0240E-02   8.5405E-89  1.5811E-89   0.0000E+00  0.0000E+00   
1.00E+02  0.086  0.005   3.9997E-07  2.1560E-06   8.5552E-03  2.0240E-02   4.3051E-63  1.1493E-63   0.0000E+00  0.0000E+00   
1.00E+02  0.129  0.000   5.3321E-06  2.9195E-05   8.5544E-03  2.0236E-02   3.0156E-43  1.2259E-43   0.0000E+00  0.0000E+00   
1.00E+02  0.172  0.000   2.4017E-05  1.3383E-04   8.5509E-03  2.0224E-02   3.2681E-33  1.7972E-33   0.0000E+00  0.0000E+00   
1.00E+02  0.259  0.000   1.4604E-04  8.4625E-04   8.5280E-03  2.0149E-02   5.2772E-23  4.4716E-23   0.0000E+00  0.0000E+00   
1.00E+02  0.431  0.000   1.0843E-03  6.8469E-03   8.4116E-03  1.9817E-02   1.4566E-14  2.1548E-14   0.0000E+00  0.0000E+00   
1.00E+02  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2569E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+02  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+03  0.001  0.513   1.9725E-06  1.0393E-05   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+03  0.009  0.493   9.7516E-07  5.1450E-06 1.00E+01  0.001  0.509   5.1333E-08  2.7043E-07   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+03  0.009  0.493   9.7516E-07  5.1450E-06   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+03  0.017  0.456   7.0314E-07  3.7165E-06   8.5553E-03  2.0240E-02   5.6976E-308 2.9656E-309  0.0000E+00  0.0000E+00   
1.00E+03  0.034  0.364   5.4347E-07  2.8845E-06   8.5553E-03  2.0240E-02   1.3514E-155 1.4160E-156  0.0000E+00  0.0000E+00   
1.00E+03  0.060  0.197   4.5778E-07  2.4474E-06   8.5553E-03  2.0240E-02   9.6214E-90  1.7812E-90   0.0000E+00  0.0000E+00   
1.00E+03  0.086  0.046   6.4244E-07  3.4631E-06   8.5553E-03  2.0240E-02   2.6786E-63  7.1507E-64   0.0000E+00  0.0000E+00   
1.00E+03  0.129  0.005   5.5121E-06  3.0180E-05   8.5544E-03  2.0237E-02   2.9165E-43  1.1856E-43   0.0000E+00  0.0000E+00   
1.00E+03  0.172  0.001   2.4190E-05  1.3479E-04   8.5509E-03  2.0224E-02   3.2444E-33  1.7841E-33   0.0000E+00  0.0000E+00   
1.00E+03  0.259  0.000   1.4621E-04  8.4726E-04   8.5281E-03  2.0150E-02   5.2706E-23  4.4661E-23   0.0000E+00  0.0000E+00   
1.00E+03  0.431  0.000   1.0845E-03  6.8481E-03   8.4116E-03  1.9817E-02   1.4563E-14  2.1544E-14   0.0000E+00  0.0000E+00   
1.00E+03  0.862  0.000   1.5803E-02  1.2413E-01   8.9222E-03  2.3014E-02   8.2568E-08  2.6493E-07   0.0000E+00  0.0000E+00   
1.00E+03  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5499E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+04  0.001  0.523   1.1092E-05  5.8489E-05   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+04  0.009  0.516   8.3136E-06  4.3881E-05   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+04  0.017  0.498   6.7158E-06  3.5508E-05   8.5553E-03  2.0240E-02   5.0520E-309 2.6296E-310  0.0000E+00  0.0000E+00   
1.00E+04  0.034  0.444   5.3704E-06  2.8510E-05   8.5553E-03  2.0240E-02   1.2967E-156 1.3587E-157  0.0000E+00  0.0000E+00   
1.00E+04  0.060  0.337   4.5537E-06  2.4349E-05   8.5553E-03  2.0240E-02   9.4856E-91  1.7561E-91   0.0000E+00  0.0000E+00   
1.00E+04  0.086  0.209   4.2237E-06  2.2770E-05   8.5553E-03  2.0240E-02   4.0366E-64  1.0776E-64   0.0000E+00  0.0000E+00   
1.00E+04  0.129  0.047   7.6205E-06  4.1727E-05   8.5547E-03  2.0237E-02   2.1043E-43  8.5544E-44   0.0000E+00  0.0000E+00   
1.00E+04  0.172  0.014   2.5987E-05  1.4481E-04   8.5512E-03  2.0225E-02   3.0166E-33  1.6589E-33   0.0000E+00  0.0000E+00   
1.00E+04  0.259  0.004   1.4797E-04  8.5747E-04   8.5283E-03  2.0151E-02   5.2059E-23  4.4112E-23   0.0000E+00  0.0000E+00   
1.00E+04  0.431  0.001   1.0865E-03  6.8607E-03   8.4118E-03  1.9818E-02   1.4535E-14  2.1503E-14   0.0000E+00  0.0000E+00   
1.00E+04  0.862  0.000   1.5806E-02  1.2415E-01   8.9223E-03  2.3015E-02   8.2551E-08  2.6487E-07   0.0000E+00  0.0000E+00   
1.00E+04  2.585  0.000   1.8431E+00  2.9809E+01   2.9294E-02  1.3115E-01   1.5498E-02  1.6531E-01   0.0000E+00  0.0000E+00   
1.00E+05  0.001  0.565   5.7773E-05  3.0584E-04   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+05  0.009  0.563   5.6185E-05  2.9754E-04   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+05  0.017  0.558   5.3952E-05  2.8603E-04   8.5553E-03  2.0240E-02   1.5725E-310 8.1848E-312  0.0000E+00  0.0000E+00   
1.00E+05  0.034  0.537   4.9019E-05  2.6077E-04   8.5553E-03  2.0240E-02   8.7519E-158 9.1704E-159  0.0000E+00  0.0000E+00   
1.00E+05  0.060  0.485   4.4050E-05  2.3591E-04   8.5553E-03  2.0240E-02   8.1426E-92  1.5075E-92   0.0000E+00  0.0000E+00   
1.00E+05  0.086  0.413   4.1283E-05  2.2284E-04   8.5553E-03  2.0240E-02   3.7558E-65  1.0026E-65   0.0000E+00  0.0000E+00   
1.00E+05  0.129  0.265   3.9728E-05  2.1771E-04   8.5551E-03  2.0239E-02   3.8868E-44  1.5801E-44   0.0000E+00  0.0000E+00   
1.00E+05  0.172  0.128   4.9741E-05  2.7731E-04   8.5529E-03  2.0232E-02   1.5527E-33  8.5385E-34   0.0000E+00  0.0000E+00   
1.00E+05  0.259  0.035   1.6667E-04  9.6603E-04   8.5309E-03  2.0160E-02   4.6025E-23  3.8999E-23   0.0000E+00  0.0000E+00   
1.00E+05  0.431  0.009   1.1064E-03  6.9875E-03   8.4140E-03  1.9826E-02   1.4259E-14  2.1094E-14   0.0000E+00  0.0000E+00   
1.00E+05  0.862  0.002   1.5837E-02  1.2440E-01   8.9235E-03  2.3018E-02   8.2381E-08  2.6433E-07   0.0000E+00  0.0000E+00   
1.00E+05  2.585  0.000   1.8432E+00  2.9811E+01   2.9295E-02  1.3115E-01   1.5497E-02  1.6530E-01   0.0000E+00  0.0000E+00   
1.00E+06  0.001  0.726   3.9306E-04  2.1165E-03   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+06  0.009  0.725   3.9024E-04  2.1014E-03   8.5553E-03  2.0240E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+06  0.017  0.724   3.9106E-04  2.1068E-03   8.5553E-03  2.0240E-02   1.0180E-314 5.2814E-316  0.0000E+00  0.0000E+00   
1.00E+06  0.034  0.718   3.8978E-04  2.1036E-03   8.5553E-03  2.0240E-02   4.6602E-160 4.8830E-161  0.0000E+00  0.0000E+00   
1.00E+06  0.060  0.700   3.8652E-04  2.0953E-03   8.5553E-03  2.0240E-02   2.2958E-93  4.2502E-94   0.0000E+00  0.0000E+00   
1.00E+06  0.086  0.672   3.8277E-04  2.0877E-03   8.5553E-03  2.0240E-02   1.8669E-66  4.9839E-67   0.0000E+00  0.0000E+00   
1.00E+06  0.129  0.604   3.7867E-04  2.0920E-03   8.5552E-03  2.0240E-02   2.8344E-45  1.1523E-45   0.0000E+00  0.0000E+00   
