rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   4.1331E-08  1.7285E-07   3.8316E-03  6.8562E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   8.1037E-09  3.3958E-08   3.8316E-03  6.8562E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   5.9291E-09  2.4908E-08   3.8316E-03  6.8562E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   4.6906E-09  1.9819E-08   3.8316E-03  6.8562E-03   2.4546E-163 2.5739E-164  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.7660E-08  7.5367E-08   3.8316E-03  6.8562E-03   5.3526E-94  9.9213E-95   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.4286E-07  1.4799E-06   3.8313E-03  6.8557E-03   5.0958E-67  1.3625E-67   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   4.8960E-06  2.1588E-05   3.8282E-03  6.8493E-03   6.9162E-46  2.8170E-46   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.2477E-05  1.0150E-04   3.8194E-03  6.8306E-03   3.3768E-35  1.8610E-35   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.3999E-04  6.6644E-04   3.7841E-03  6.7581E-03   2.4207E-24  2.0564E-24   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0713E-03  5.7244E-03   3.7013E-03  6.6293E-03   2.1128E-15  3.1346E-15   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.6294E-02  1.1515E-01   4.1570E-03  8.9122E-03   2.8855E-08  9.2625E-08   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.9911E+00  3.0733E+01   2.0298E-02  8.8564E-02   1.4079E-02  1.4893E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   4.1331E-08  1.7285E-07   3.8316E-03  6.8562E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   8.1037E-09  3.3958E-08   3.8316E-03  6.8562E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
