rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   3.2603E-08  1.2794E-07   2.6691E-03  4.4377E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   6.4609E-09  2.5406E-08   2.6691E-03  4.4377E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   4.7692E-09  1.8802E-08   2.6691E-03  4.4377E-03   1.4515E-312 7.5582E-314  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   3.8162E-09  1.5134E-08   2.6691E-03  4.4377E-03   5.9470E-157 6.2515E-158  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.4520E-08  5.8174E-08   2.6689E-03  4.4376E-03   2.3822E-90  4.4345E-91   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   2.8391E-07  1.1506E-06   2.6679E-03  4.4370E-03   1.7505E-64  4.7086E-65   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   4.0875E-06  1.6926E-05   2.6636E-03  4.4331E-03   3.0798E-44  1.2656E-44   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   1.8897E-05  8.0145E-05   2.6564E-03  4.4241E-03   5.2015E-34  2.8993E-34   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.1957E-04  5.3496E-04   2.6360E-03  4.3901E-03   1.2419E-23  1.0716E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   9.5248E-04  4.7932E-03   2.6129E-03  4.3883E-03   4.7355E-15  7.1740E-15   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5991E-02  1.0799E-01   3.5949E-03  8.2223E-03   4.9870E-08  1.6382E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   2.2852E+00  3.4908E+01   2.5121E-02  1.1210E-01   2.6757E-02  2.9116E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   3.2603E-08  1.2794E-07   2.6691E-03  4.4377E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   6.4609E-09  2.5406E-08   2.6691E-03  4.4377E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   4.7692E-09  1.8802E-08   2.6691E-03  4.4377E-03   1.4515E-312 7.5582E-314  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   3.8162E-09  1.5134E-08   2.6691E-03  4.4377E-03   5.9470E-157 6.2515E-158  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   1.4520E-08  5.8174E-08   2.6689E-03  4.4376E-03   2.3822E-90  4.4345E-91   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   2.8391E-07  1.1506E-06   2.6679E-03  4.4370E-03   1.7505E-64  4.7086E-65   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   4.0875E-06  1.6926E-05   2.6636E-03  4.4331E-03   3.0798E-44  1.2656E-44   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   1.8897E-05  8.0145E-05   2.6564E-03  4.4241E-03   5.2015E-34  2.8993E-34   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.1957E-04  5.3496E-04   2.6360E-03  4.3901E-03   1.2419E-23  1.0716E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   9.5248E-04  4.7932E-03   2.6129E-03  4.3883E-03   4.7355E-15  7.1740E-15   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5991E-02  1.0799E-01   3.5949E-03  8.2223E-03   4.9870E-08  1.6382E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   2.2852E+00  3.4908E+01   2.5121E-02  1.1210E-01   2.6757E-02  2.9116E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   3.3225E-07  1.3039E-06   2.6691E-03  4.4377E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   6.4550E-08  2.5383E-07   2.6691E-03  4.4377E-03   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   4.7671E-08  1.8794E-07   2.6691E-03  4.4377E-03   1.4429E-313 7.4788E-315  0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   3.8157E-08  1.5132E-07   2.6691E-03  4.4377E-03   5.9446E-158 6.2490E-159  0.0000E+00  0.0000E+00   
