rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   5.2373E-08  2.7583E-07   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   1.0057E-08  5.3041E-08   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.2122E-09  3.8110E-08   8.7050E-03  2.0586E-02   5.9223E-306 3.0824E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.5520E-09  2.9461E-08   8.7050E-03  2.0586E-02   1.3977E-153 1.4643E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   2.0361E-08  1.0884E-07   8.7050E-03  2.0586E-02   2.2802E-88  4.2202E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8812E-07  2.0921E-06   8.7049E-03  2.0586E-02   4.6686E-63  1.2458E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.4196E-06  2.9678E-05   8.7039E-03  2.0582E-02   3.1214E-43  1.2682E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4467E-05  1.3638E-04   8.6985E-03  2.0564E-02   3.3747E-33  1.8544E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4865E-04  8.6179E-04   8.6579E-03  2.0441E-02   5.4614E-23  4.6231E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0979E-03  6.9322E-03   8.4524E-03  1.9865E-02   1.5172E-14  2.2417E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5845E-02  1.2437E-01   8.8199E-03  2.2662E-02   8.4330E-08  2.7030E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8437E+00  2.9823E+01   2.9244E-02  1.3060E-01   1.5511E-02  1.6542E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   5.2373E-08  2.7583E-07   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   1.0057E-08  5.3041E-08   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.2122E-09  3.8110E-08   8.7050E-03  2.0586E-02   5.9223E-306 3.0824E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.5520E-09  2.9461E-08   8.7050E-03  2.0586E-02   1.3977E-153 1.4643E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   2.0361E-08  1.0884E-07   8.7050E-03  2.0586E-02   2.2802E-88  4.2202E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8812E-07  2.0921E-06   8.7049E-03  2.0586E-02   4.6686E-63  1.2458E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.4196E-06  2.9678E-05   8.7039E-03  2.0582E-02   3.1214E-43  1.2682E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4467E-05  1.3638E-04   8.6985E-03  2.0564E-02   3.3747E-33  1.8544E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4865E-04  8.6179E-04   8.6579E-03  2.0441E-02   5.4614E-23  4.6231E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0979E-03  6.9322E-03   8.4524E-03  1.9865E-02   1.5172E-14  2.2417E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5845E-02  1.2437E-01   8.8199E-03  2.2662E-02   8.4330E-08  2.7030E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8437E+00  2.9823E+01   2.9244E-02  1.3060E-01   1.5511E-02  1.6542E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   5.3359E-07  2.8102E-06   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   1.0046E-07  5.2988E-07   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   7.2086E-08  3.8091E-07   8.7050E-03  2.0586E-02   5.9150E-307 3.0786E-308  0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   5.5513E-08  2.9457E-07   8.7050E-03  2.0586E-02   1.3971E-154 1.4637E-155  0.0000E+00  0.0000E+00   
1.00E+02  0.060  0.065   5.2710E-08  2.8176E-07   8.7050E-03  2.0586E-02   8.8068E-89  1.6300E-89   0.0000E+00  0.0000E+00   
1.00E+02  0.086  0.005   4.0797E-07  2.1991E-06   8.7049E-03  2.0586E-02   4.4412E-63  1.1851E-63   0.0000E+00  0.0000E+00   
1.00E+02  0.129  0.000   5.4376E-06  2.9777E-05   8.7039E-03  2.0582E-02   3.1110E-43  1.2639E-43   0.0000E+00  0.0000E+00   
1.00E+02  0.172  0.000   2.4484E-05  1.3648E-04   8.6985E-03  2.0564E-02   3.3722E-33  1.8530E-33   0.0000E+00  0.0000E+00   
1.00E+02  0.259  0.000   1.4867E-04  8.6190E-04   8.6579E-03  2.0441E-02   5.4608E-23  4.6225E-23   0.0000E+00  0.0000E+00   
1.00E+02  0.431  0.000   1.0979E-03  6.9323E-03   8.4524E-03  1.9865E-02   1.5171E-14  2.2416E-14   0.0000E+00  0.0000E+00   
1.00E+02  0.862  0.000   1.5845E-02  1.2437E-01   8.8199E-03  2.2662E-02   8.4330E-08  2.7030E-07   0.0000E+00  0.0000E+00   
1.00E+02  2.585  0.000   1.8437E+00  2.9823E+01   2.9244E-02  1.3060E-01   1.5511E-02  1.6542E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   5.2373E-08  2.7583E-07   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   1.0057E-08  5.3041E-08   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.2122E-09  3.8110E-08   8.7050E-03  2.0586E-02   5.9223E-306 3.0824E-307  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.5520E-09  2.9461E-08   8.7050E-03  2.0586E-02   1.3977E-153 1.4643E-154  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   2.0361E-08  1.0884E-07   8.7050E-03  2.0586E-02   2.2802E-88  4.2202E-89   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   3.8812E-07  2.0921E-06   8.7049E-03  2.0586E-02   4.6686E-63  1.2458E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.4196E-06  2.9678E-05   8.7039E-03  2.0582E-02   3.1214E-43  1.2682E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.4467E-05  1.3638E-04   8.6985E-03  2.0564E-02   3.3747E-33  1.8544E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.4865E-04  8.6179E-04   8.6579E-03  2.0441E-02   5.4614E-23  4.6231E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.0979E-03  6.9322E-03   8.4524E-03  1.9865E-02   1.5172E-14  2.2417E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.5845E-02  1.2437E-01   8.8199E-03  2.2662E-02   8.4330E-08  2.7030E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   1.8437E+00  2.9823E+01   2.9244E-02  1.3060E-01   1.5511E-02  1.6542E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   5.3359E-07  2.8102E-06   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   1.0046E-07  5.2988E-07   8.7050E-03  2.0586E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   7.2086E-08  3.8091E-07   8.7050E-03  2.0586E-02   5.9150E-307 3.0786E-308  0.0000E+00  0.0000E+00   
